[Path],[Configuration],PartNo,Description,Rev
D:\Exchange\Model\OfficeSpace.SLDASM,@,ASM-001,Steel Structure for Office Space,A
D:\Exchange\Model\ICMember-1.sldprt,@,PRT-001,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-2.sldprt,@,PRT-002,"$PRP:""SW-File Name""",C
D:\Exchange\Model\ICMember-3.sldprt,@,PRT-003,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-4.sldprt,@,PRT-004,"$PRP:""SW-File Name""",D
D:\Exchange\Model\ICMember-5.sldprt,@,PRT-005,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-6.sldprt,@,PRT-006,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-7.sldprt,@,PRT-007,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-8.sldprt,@,PRT-008,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-9.sldprt,@,PRT-009,"$PRP:""SW-File Name""",C
D:\Exchange\Model\ICMember-10.sldprt,@,PRT-010,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-11.sldprt,@,PRT-011,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-12.sldprt,@,PRT-012,"$PRP:""SW-File Name""",E
D:\Exchange\Model\ICMember-13.sldprt,@,PRT-013,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-19.sldprt,@,PRT-014,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-20.sldprt,@,PRT-015,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-21.sldprt,@,PRT-016,"$PRP:""SW-File Name""",D
D:\Exchange\Model\ICMember-22.sldprt,@,PRT-017,"$PRP:""SW-File Name""",B
D:\Exchange\Model\ICMember-23.sldprt,@,PRT-018,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 1.sldprt,@,PRT-019,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 2.sldprt,@,PRT-020,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 1-1.sldprt,@,PRT-021,"$PRP:""SW-File Name""",A
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 2-1.sldprt,@,PRT-022,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 1-2.sldprt,@,PRT-023,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (F)_ACF Guide Angle 2-2.sldprt,@,PRT-024,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 1.sldprt,@,PRT-025,"$PRP:""SW-File Name""",D
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 2.sldprt,@,PRT-026,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 3.sldprt,@,PRT-027,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 4.sldprt,@,PRT-028,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 1-3.sldprt,@,PRT-029,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 2-3.sldprt,@,PRT-030,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 1-4.sldprt,@,PRT-031,"$PRP:""SW-File Name""",C
D:\Exchange\Model\Angle Cleat (W)_ACW Guide Angle 2-4.sldprt,@,PRT-032,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Flexible End Plate (W)_FEPW End Plate 1.sldprt,@,PRT-033,"$PRP:""SW-File Name""",B
D:\Exchange\Model\Flexible End Plate (W)_FEPW End Plate 1-1.sldprt,@,PRT-034,"$PRP:""SW-File Name""",A
D:\Exchange\Model\Flexible End Plate (W)_FEPW End Plate 1-2.sldprt,@,PRT-035,"$PRP:""SW-File Name""",A
D:\Exchange\Model\End Cap_EC End Cap.sldprt,@,PRT-036,"$PRP:""SW-File Name""",A
D:\Exchange\Model\Base Plate_BP Plate.sldprt,@,PRT-037,"$PRP:""SW-File Name""",A
